Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
1996 [1996],Japan,103.5246727,100.8669847,0.135742305,..,101.1818496,4835292.346,165.580669,217498.5954,3.350839498,1.69416E12,1.85947E12,349253.7527,349126.9962,410602,-0.012687598372567976,0.012687598372567976,410814,108.7941324,108.7941324,84.90182501
1996 [1996],United Kingdom,81.85906193,77.9476513,2.454126873,81.35796183,78.35599126,1418134.49,66.25207459,40763.05059,8.116666667,4.9517E11,5.26078E11,959.8242987,309963,167069.3898,-0.11713244877169585,0.11713244877169585,167196,0.640542201,0.640542201,69.24826298
1996 [1996],United States,75.22438198,72.12275313,2.936672864,75.03788342,72.38551459,8073200,54.84440451,77524.28519,5.408333333,2.45067E12,2.4581E12,795448.3812,795286.6,625077,0.021103327206064504,-0.021103327206064504,625073.3,1,1,71.56198725
1996Q1 [1996Q1],Brazil,..,..,..,..,..,204627.4101,..,..,..,..,..,11829.98195,10751,11863.00158,-1.6136464799053178E-4,1.6136464799053178E-4,10286,..,..,..
1996Q1 [1996Q1],Canada,..,..,..,..,..,154146.8227,..,..,..,..,..,61.18563039,51547,49392.1,-0.32002550234601757,0.32002550234601757,50.04072863,..,..,..
1996Q1 [1996Q1],China,..,..,..,..,..,202700.235,..,..,..,..,..,37833.07836,29339.82364,34793.54337,0.014995221835830632,-0.014995221835830632,28242,..,..,..
1996Q1 [1996Q1],France,..,..,..,..,..,407840.8882,..,..,..,..,..,133.6276389,70293,96830.92002,-0.23709563013132925,0.23709563013132925,96252.57026,..,..,..
1996Q1 [1996Q1],Germany,..,..,..,..,..,621504.3109,..,..,..,..,..,116281.1183,114772.1357,132990.9525,-0.02688611149905382,0.02688611149905382,130051,..,..,..
1996Q1 [1996Q1],India,..,..,..,..,..,..,..,..,..,..,..,9769.915674,9852,288.6036979,,,312.09,..,..,..
1996Q1 [1996Q1],Italy,..,..,..,..,..,338979.5747,..,..,..,..,..,156.6336219,158.3800634,61784,-0.18180259513465016,0.18180259513465016,61951,..,..,..
1996Q1 [1996Q1],Japan,..,..,..,..,..,1228742.948,..,..,..,..,..,85534.44448,84538.10099,102755,-0.014014774650816545,0.014014774650816545,101692,..,..,..
1996Q1 [1996Q1],United Kingdom,..,..,..,..,..,337926.6507,..,..,..,..,..,240.9270728,76742,41459.67711,-0.1219754344672644,0.1219754344672644,41537,..,..,..
1996Q1 [1996Q1],United States,..,..,..,..,..,1967100,..,..,..,..,..,193060.2339,185852.2,152801,0.020466287377357527,-0.020466287377357527,153832,..,..,..
1996Q2 [1996Q2],Brazil,..,..,..,..,..,208235.2202,..,..,..,..,..,12626.25557,12491,11994.06183,0.0030359597160980107,-0.0030359597160980107,12617,..,..,..
1996Q2 [1996Q2],Canada,..,..,..,..,..,156248.7506,..,..,..,..,..,67.16180961,52095,51192.9,-0.3272073408207464,0.3272073408207464,53.69148722,..,..,..
1996Q2 [1996Q2],China,..,..,..,..,..,210843.6523,..,..,..,..,..,34058.66547,33806.35725,35793.95812,-0.008230234256855562,0.008230234256855562,35787,..,..,..
1996Q2 [1996Q2],France,..,..,..,..,..,399016.1025,..,..,..,..,..,105.0363142,67791,89424.34819,-0.22384889059909557,0.22384889059909557,90539.2068,..,..,..
1996Q2 [1996Q2],Germany,..,..,..,..,..,613458.9964,..,..,..,..,..,111093.2436,111457.1975,126084.828,-0.02443779370418569,0.02443779370418569,127353,..,..,..
1996Q2 [1996Q2],India,..,..,..,..,..,94917.44919,..,..,..,..,..,9432.396735,9261,300.4284663,0.09620958366064157,-0.09620958366064157,287.89,..,..,..
1996Q2 [1996Q2],Italy,..,..,..,..,..,333754.208,..,..,..,..,..,160.6514865,161.9706185,62224,-0.18595525397390647,0.18595525397390647,63803,..,..,..
1996Q2 [1996Q2],Japan,..,..,..,..,..,1223878.046,..,..,..,..,..,87598.6701,87791.41844,100763,-0.01075624319189724,0.01075624319189724,99646,..,..,..
1996Q2 [1996Q2],United Kingdom,..,..,..,..,..,343585.1835,..,..,..,..,..,245.7007373,78153,41569.89808,-0.12027351389760961,0.12027351389760961,41429,..,..,..
1996Q2 [1996Q2],United States,..,..,..,..,..,2008200,..,..,..,..,..,195461.001,195716.1,155477,0.01991036799123593,-0.01991036799123593,157052.2,..,..,..
1996Q3 [1996Q3],Brazil,..,..,..,..,..,214756.5869,..,..,..,..,..,13770.50471,14217,11977.14166,0.00835067774119109,-0.00835067774119109,12955,..,..,..
1996Q3 [1996Q3],Canada,..,..,..,..,..,157754.3648,..,..,..,..,..,62.37206744,49357,52531.6,-0.3326007999783724,0.3326007999783724,51.4393181,..,..,..
1996Q3 [1996Q3],China,..,..,..,..,..,218940.8613,..,..,..,..,..,33045.80764,32737.20944,38789.15172,-0.026232399223689373,0.026232399223689373,39894,..,..,..
1996Q3 [1996Q3],France,..,..,..,..,..,408047.3898,..,..,..,..,..,133.0202905,63646,93706.03158,-0.22931898016885682,0.22931898016885682,86970.95111,..,..,..
1996Q3 [1996Q3],Germany,..,..,..,..,..,626533.5469,..,..,..,..,..,113991.893,110483.6286,133218.2613,-0.03068689361508157,0.03068689361508157,128699,..,..,..
1996Q3 [1996Q3],India,..,..,..,..,..,94107.84259,..,..,..,..,..,8978.631695,8919,292.6599419,0.09229806479511178,-0.09229806479511178,286.39,..,..,..
1996Q3 [1996Q3],Italy,..,..,..,..,..,341298.2638,..,..,..,..,..,192.0756799,189.1285281,63232,-0.18470625551450578,0.18470625551450578,59741,..,..,..
1996Q3 [1996Q3],Japan,..,..,..,..,..,1206626.545,..,..,..,..,..,88226.37069,87441.16772,101256,-0.010798394386392357,0.010798394386392357,102309,..,..,..
1996Q3 [1996Q3],United Kingdom,..,..,..,..,..,356631.5886,..,..,..,..,..,236.4858558,76524,41888.201,-0.11679199621017532,0.11679199621017532,40396,..,..,..
1996Q3 [1996Q3],United States,..,..,..,..,..,2032900,..,..,..,..,..,201137.1089,204015.7,156115,0.022146740567661957,-0.022146740567661957,149769.8,..,..,..
1996Q4 [1996Q4],Brazil,..,..,..,..,..,221892.6848,..,..,..,..,..,14863.50182,15888,12002.26798,0.012894674029380167,-0.012894674029380167,11889,..,..,..
1996Q4 [1996Q4],Canada,..,..,..,..,..,162502.7022,..,..,..,..,..,59.2880719,51449,51706.4,-0.3178230960401839,0.3178230960401839,53.7690269,..,..,..
1996Q4 [1996Q4],China,..,..,..,..,..,227816.0703,..,..,..,..,..,35153.80301,42951.23558,41496.98026,-0.027843414389717852,0.027843414389717852,47124,..,..,..
1996Q4 [1996Q4],France,..,..,..,..,..,402293.7223,..,..,..,..,..,164.8455423,70849,91273.15629,-0.22647211650933582,0.22647211650933582,97072.94152,..,..,..
1996Q4 [1996Q4],Germany,..,..,..,..,..,620864.4822,..,..,..,..,..,114636.8948,119042.3457,132173.3575,-0.028245234190012777,0.028245234190012777,138079,..,..,..
1996Q4 [1996Q4],India,..,..,..,..,..,98129.22436,..,..,..,..,..,9810.475697,9914,288.8114986,0.09703189096317036,-0.09703189096317036,285.55,..,..,..
1996Q4 [1996Q4],Italy,..,..,..,..,..,336208.5768,..,..,..,..,..,176.2666095,175.3800384,63743,-0.1890693390261542,0.1890693390261542,66616,..,..,..
1996Q4 [1996Q4],Japan,..,..,..,..,..,1176044.807,..,..,..,..,..,87894.26746,89356.30905,105828,-0.015249191555675137,0.015249191555675137,107167,..,..,..
1996Q4 [1996Q4],United Kingdom,..,..,..,..,..,379991.0671,..,..,..,..,..,236.7106328,78544,42151.61365,-0.1103049693696339,0.1103049693696339,43834,..,..,..
1996Q4 [1996Q4],United States,..,..,..,..,..,2065000,..,..,..,..,..,205790.0373,209702.6,160684,0.021843117336561742,-0.021843117336561742,164419.3,..,..,..
1997 [1997],Brazil,48.07538308,46.4730985,6.955812392,48.0229701,46.45998754,883879.9089,24.86574486,52173,..,3.75872E11,4.15067E11,59192.41841,59485,52807.21826,0.007224058478652899,-0.007224058478652899,52949,1.077677409,1.077677409,..
1997 [1997],Canada,81.96684588,78.02964882,1.611845188,81.60868272,78.51143933,654886.239,41.82612922,17871.4191,9.091666667,2.0368E11,..,265.4025392,217203,218449.1,-0.33316274563039033,0.33316274563039033,222.7601163,1.384865742,1.384865742,45.52957136
1997 [1997],China,..,84.02393035,2.78688969,..,83.55391014,959656.3483,..,143301.5165,..,5.80113E11,5.54286E11,143171.7114,142371.0081,182874.8136,-0.04137220815590159,0.04137220815590159,182791,8.289856415,8.289856415,..
1997 [1997],France,83.77587438,82.60684669,1.182854042,83.24024823,83.00655341,1462888.588,51.57126447,34458.48628,10.3,3.54631E11,3.62176E11,541.7870827,263858,328385.0485,-0.2241067871515175,0.2241067871515175,329102.9525,5.835223677,0.884346188,..
1997 [1997],Germany,87.29249937,84.16936354,1.90465825,86.84040838,84.09172987,2221829,50.08837597,84457.92418,8.564601219,7.88201E11,8.71883E11,446566.6811,446654.8381,512435.1477,-0.02964605583958081,0.02964605583958081,512445,1.7336706,0.884346188,87.10882241
1997 [1997],India,..,45.83780216,7.179206337,..,45.93887055,407935.3477,27.90046504,27355,..,2.10815E11,2.03616E11,41463.34456,41436,1269.847528,0.09852908618636973,-0.09852908618636973,1270.73,36.32045788,36.32045788,..
1997 [1997],Italy,77.66812865,76.47732445,2.035383335,76.42934196,76.59074476,1236978.889,80.63165702,65068.39049,..,5.35413E11,5.97238E11,681.1862747,680.7206805,239539,-0.19309772854603666,0.19309772854603666,240357,1702.632942,0.884346188,..
1997 [1997],Japan,105.16952,102.6284225,1.746297606,..,102.9503106,4416647.264,130.0951693,220510.3739,3.40312124,1.76279E12,1.92751E12,338405.7292,338564.1077,433364,-0.021500080292579143,0.021500080292579143,420586,121.0616213,121.0616213,75.75656317
1997 [1997],United Kingdom,83.57809654,79.36828252,1.822545249,83.06555028,79.78567959,1560753.67,81.93108957,33019.33793,6.983333333,5.01876E11,5.12427E11,913.5184901,316024,170179.0971,-0.10845118090281347,0.10845118090281347,170259,0.610183697,0.610183697,75.23725499
1997 [1997],United States,77.01913494,73.8086699,2.337565744,76.82818678,74.07766348,8577600,71.06273017,71309.36537,4.941666667,2.6268E12,2.63477E12,869414.2252,869703,689181,0.021012080908412608,-0.021012080908412608,689180,1,1,74.50167711
1997Q1 [1997Q1],Brazil,..,..,..,..,..,220266.9996,..,..,..,..,..,12544.77012,11443,12201.28074,0.0015594227942622733,-0.0015594227942622733,10648,..,..,..
1997Q1 [1997Q1],Canada,..,..,..,..,..,163975.1762,..,..,..,..,..,62.05663622,52223,54568.3,-0.332405456892444,0.332405456892444,54.87863796,..,..,..
1997Q1 [1997Q1],China,..,..,..,..,..,231265.3519,..,..,..,..,..,36045.9417,28810.4677,42677.83966,-0.028676573924777335,0.028676573924777335,35534,..,..,..
1997Q1 [1997Q1],France,..,..,..,..,..,374469.0928,..,..,..,..,..,139.4079119,65706,83741.20253,-0.22325419166903274,0.22325419166903274,83465.83757,..,..,..
1997Q1 [1997Q1],Germany,..,..,..,..,..,571901.0947,..,..,..,..,..,111149.9914,109934.7904,125409.5361,-0.02493358525127509,0.02493358525127509,122620,..,..,..
1997Q1 [1997Q1],India,..,..,..,..,..,100479.7248,..,..,..,..,..,10884.77548,11016,305.565666,0.10528701024069684,-0.10528701024069684,328.35,..,..,..
1997Q1 [1997Q1],Italy,..,..,..,..,..,315590.6316,..,..,..,..,..,150.4408643,152.4335207,59173,-0.18702253243850728,0.18702253243850728,57384,..,..,..
1997Q1 [1997Q1],Japan,..,..,..,..,..,1098357.944,..,..,..,..,..,88019.30419,87636.12526,103304,-0.013915951437776469,0.013915951437776469,99469,..,..,..
1997Q1 [1997Q1],United Kingdom,..,..,..,..,..,382873.1316,..,..,..,..,..,231.0400914,77292,42061.62383,-0.10925442473279051,0.10925442473279051,41913,..,..,..
1997Q1 [1997Q1],United States,..,..,..,..,..,2090700,..,..,..,..,..,210387.3818,202968.4,164912,0.021751270770555317,-0.021751270770555317,164943.9,..,..,..
1997Q2 [1997Q2],Brazil,..,..,..,..,..,220365.9481,..,..,..,..,..,15695.8563,15383,13365.42388,0.010575283704642382,-0.010575283704642382,14121,..,..,..
1997Q2 [1997Q2],Canada,..,..,..,..,..,162180.8621,..,..,..,..,..,68.5270424,53161,53598.2,-0.3300615884295512,0.3300615884295512,56.32083232,..,..,..
1997Q2 [1997Q2],China,..,..,..,..,..,237257.954,..,..,..,..,..,34400.82857,34216.88448,45428.96489,-0.04648162952631719,0.04648162952631719,45298,..,..,..
1997Q2 [1997Q2],France,..,..,..,..,..,367393.2368,..,..,..,..,..,105.7393341,66468,84685.97081,-0.2302171706060649,0.2302171706060649,84916.41551,..,..,..
1997Q2 [1997Q2],Germany,..,..,..,..,..,558862.5931,..,..,..,..,..,111959.6323,112226.9958,128525.423,-0.029641974439745332,0.029641974439745332,129511,..,..,..
1997Q2 [1997Q2],India,..,..,..,..,..,102321.2755,..,..,..,..,..,10243.2276,10030,319.8550776,0.09698249434351511,-0.09698249434351511,304.58,..,..,..
1997Q2 [1997Q2],Italy,..,..,..,..,..,309995.6118,..,..,..,..,..,158.2595228,159.3987347,60261,-0.1938825524923124,0.1938825524923124,62052,..,..,..
1997Q2 [1997Q2],Japan,..,..,..,..,..,1117598.991,..,..,..,..,..,85355.71835,84814.24375,109440,-0.02155002093232921,0.02155002093232921,105701,..,..,..
1997Q2 [1997Q2],United Kingdom,..,..,..,..,..,386056.1961,..,..,..,..,..,229.4296261,76544,42823.62672,-0.11033159815641669,0.11033159815641669,42684,..,..,..
