Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton
2812,2018M06 [2018M06],Japan,101.0070493,104.4421488,0.797607178,100.501002,104.4513458,175.0138611,1229048.14,2.50869163,1.40118E11,1.52112E11,60358.76783,57442.0415,62754,64091,110.1292857,110.1292857,85.05566611,0.263013482205829,-2.897540961404564
2813,2018M06 [2018M06],United Kingdom,120.6397996,119.7913778,2.469989046,119.8687486,120.4752471,125.3343759,143481.3792,4.0,41071269289,42012899903,54.16202718,,29631.40433,29209.17284,0.752743243,0.752743243,105.4544865,4.044386783719775,26.357925547490726
2814,2018M06 [2018M06],United States,117.0892288,115.4895902,2.865520786,116.6742962,116.2917019,236.7448297,127198.3168,4.0,2.85358E11,2.90302E11,208380.3302,211391,140427.2,145503.5,1.0,1.0,136.865976,5.8188814281090675,17.42398116289852
2815,2018M07 [2018M07],Brazil,164.592097,166.2562564,4.454583332,164.0025003,166.4718343,52.27173041,379444,12.23722849,38321518254,44990213832,16372.49637,18651,21007.50166,22525,3.824659091,3.824659091,78.00660181,-0.4235868656471894,-1.0997741167579214
2816,2018M07 [2018M07],Canada,115.1433692,115.4576857,2.767102229,114.1837645,116.6811468,111.9762862,81816.67002,5.8,22811976103,21489773274,50.848,,38897.4,39.20642583,1.313545455,1.313545455,99.32062717,1.4809618519798453,2.988868243964426
2817,2018M07 [2018M07],China,115.7002188,123.959831,1.87534599,115.6403806,122.4580224,90.32380533,3140096.994,3.820476972,4.71655E11,4.26383E11,178320.3186,179949.6014,206935.5388,214403,6.719159091,6.719159091,,,0.2286438217126072
2818,2018M07 [2018M07],France,109.8929336,109.8128854,2.267326733,109.1914894,110.3536703,124.7324645,67324.87944,8.762962963,31192958896,31937127078,44.144,55275,57566.42213,59276.14306,5.613090909,0.855673082,108.8230286,9.800226744842433,-13.696413213154857
2819,2018M07 [2018M07],Germany,114.0542292,111.8662352,1.866404715,112.2084901,113.1094258,175.6920208,64489.94615,3.345127543,92651731622,1.02494E11,108649.8363,110558.579,128622.2193,129656,1.673704545,0.855673082,100.5383565,-5.687557198775878,-8.774531480693929
2820,2018M07 [2018M07],Italy,111.1842105,110.9815422,1.476403891,110.4638619,111.3882863,77.33646413,54485.6805,10.3816379,38700996386,48276637244,58.56423407,61.28204933,45533,50514,1656.904091,0.855673082,78.32620418,1.6542461464051725,0.9207470164224542
2821,2018M07 [2018M07],Japan,100.9063444,104.6487603,0.997008973,100.6012024,104.5548654,171.0450428,1227300.625,2.505761215,1.40389E11,1.55018E11,62310.04794,62584.88487,61624,60509,111.4536364,111.4536364,83.33149333,0.4662808763956666,-3.150308895118584
2822,2018M07 [2018M07],United Kingdom,120.548725,120.0259322,2.459425752,120.0384702,120.4274263,123.8810746,141464.1334,4.0,41191010598,40994158393,54.42491234,,29780.00603,28952.09877,0.759413258,0.759413258,101.6199967,3.2120643431947213,29.659320993053075
2823,2018M07 [2018M07],United States,117.1664713,115.6302876,2.928031171,116.8918521,116.2995473,238.5414022,126746.6578,3.8,2.86627E11,2.87151E11,213654.9936,217027,138236.6,133739.9,1.0,1.0,137.6307741,5.480949572529719,15.553144443525776
2824,2018M08 [2018M08],Brazil,164.9048223,166.4414491,4.141741766,164.4174027,166.3221741,51.37940388,381393,12.19059731,37896196187,46117317310,17025.42907,18778,20393.29873,21553,3.934891304,3.934891304,79.69651953,-0.4093036216651602,-1.3260987468902874
2825,2018M08 [2018M08],Canada,115.1433692,115.6303972,2.68404908,114.3621766,116.5942659,112.0728912,81238.17023,6.0,22824082229,22240907719,49.665,,38836.1,38.77334135,1.304,1.304,99.55870596,1.7179941438237682,3.881420319763828
2826,2018M08 [2018M08],China,115.9299781,124.425299,2.083078101,115.9356885,123.3092351,86.34915556,3131765.69,3.812064894,4.7333E11,4.27767E11,180050.5501,185869.5031,207257.5321,216949,6.84673913,6.84673913,,,1.0841880351473046
2827,2018M08 [2018M08],France,110.5995717,109.951095,2.21387626,109.2978723,110.8879154,124.055982,71690.02747,8.707407407,31403457992,25310580453,46.844,46405,54766.91628,45276.83151,5.683108696,0.866315038,109.5168002,13.86911114245652,-9.555268967398376
