,Time,Country,"CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, % y-o-y, not seas. adj.,,","CPI Price, seas. adj.,,,","CPI Price,not seas.adj,,,","Core CPI,not seas.adj,,,","Core CPI,seas.adj,,,","Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, Price, US$, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","GDP,constant 2010 US$,millions,seas. adj.,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Retail Sales Volume,Index,,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,"
0,2016M04 [2016M04],Brazil,149.8736211,..,152.1655737,9.353823154,149.6111094,152.5892863,..,..,75.61011198,37.81025634,362201,10.64107929,36279972331,38978995283,0.93707483,0.908939014,11265.56916,10510,11215.75318,12394.19695,..,0.801928783,..,15544.41983,0.808878856,15372,19383.79087,19004.08186,3.558519048,3.558519048,81.87831079
0,2016M04 [2016M04],Canada,110.483871,..,110.4490501,1.669316375,109.8126673,111.4682884,..,..,117.1273957,95.32649249,83921.48164,7.1,20279778155,19932543326,0.957419819,0.9591449,48.504,39996,41774.77758,50.57004421,..,0.813385511,..,32417.2,0.811677619,32.88002408,39854.65631,40.50872329,1.282004762,1.282004762,93.76157295
0,2016M04 [2016M04],China,110.7221007,..,119.6288576,2.454494997,110.6748332,119.1114739,..,..,94.64749707,99.74465509,3243750.654,4.057017235,4.10356E+11,3.98013E+11,0.968466759,0.966151494,127729.4111,127389.5697,131537.3692,132204.3302,..,1.15534824,..,173570.9474,1.135062903,166689,150232.5805,146854.4162,6.478552381,6.478552381,..
0,2016M04 [2016M04],France,107.8479657,..,106.1981714,-0.179874088,106.8723404,106.9451865,..,..,123.6297778,98.17770372,59202.75951,9.751851852,30453204930,31534493679,0.7556674,0.746315468,47.42,47079,62301.2188,63.53881437,..,0.886615871,..,48010.30627,0.893059089,48911.38792,54150.06411,54768.36697,5.786519048,0.882166748,97.86148589
0,2016M04 [2016M04],Germany,108.6745166,..,108.0906149,0.0999001,108.4255776,108.4507042,..,..,170.9506885,135.7509463,67168.27513,4.119249031,88949188589,1.01614E+11,0.800323801,0.797787598,89599.64662,89276.77246,111550.8153,112310.1522,..,0.838763993,..,117268.6773,0.840617441,117933,139811.2916,140293.3061,1.7253,0.882166748,91.44341288
0,2016M04 [2016M04],India,..,..,155.6952647,5.412732345,..,154.6780073,..,..,147.3977804,101.7998722,363049,8.5,52967590042,49268289185,..,..,26320.68504,25689.18,..,..,..,..,..,1442.800264,..,1386.78,..,..,66.49095714,66.49095714,..
0,2016M04 [2016M04],Italy,111.1842105,..,107.7185873,-0.489002385,108.3063646,107.9175705,..,..,78.29322975,62.17093181,50277.82727,11.65916083,37634143824,41562395033,0.845722223,0.841117973,57.84283901,61.19897417,72.36297274,68.76899661,..,0.951591455,..,39704,0.946401988,39728,41723.78785,41977.93381,1708.090048,0.882166748,76.73509117
0,2016M04 [2016M04],Japan,101.3091641,..,103.0991736,-0.2997003,100.6012024,103.4161491,..,..,155.1683759,128.7917762,1232036.837,3.218857269,1.34167E+11,1.38746E+11,0.778688342,0.762714959,48224.60375,46349.44143,59522.45456,63227.5573,..,0.81728594,..,52345,0.828910357,53761,64047.35168,64857.43551,109.5653333,109.5653333,82.65631118
0,2016M04 [2016M04],United Kingdom,114.8337887,..,113.4565496,0.306675951,114.109527,114.1230587,..,..,124.2367963,110.0535604,150742.9608,4.9,40672131589,40749660430,0.891030984,0.903320163,69.42203336,56181,63051.67948,76.85207994,..,0.898819993,..,24263.981,0.902588875,24745.5679,26995.37304,27416.21195,0.698688841,0.698688841,104.6192879
0,2016M04 [2016M04],United States,112.225221,..,109.8152542,1.106162847,111.7090372,110.4177916,..,..,170.4131868,170.4131868,122965.581,5,2.67804E+11,2.6539E+11,0.941223193,0.927286943,176033.4797,173964,184827.5747,189837.1168,..,0.979766054,..,119334.3,0.983429992,118712.7,121798.7697,120712.914,1,1,126.2666039
0,2016M05 [2016M05],Brazil,151.3423819,..,153.2632514,9.358395075,150.9334386,153.7793318,..,..,74.3912738,37.39594712,363447,10.85518195,36450101158,40528762565,0.897108844,0.873851295,11408.70998,11138,12415.43886,13055.66525,..,0.838278932,..,16354.12636,0.851015801,17569,19509.17021,20644.74005,3.541545455,3.541545455,81.95454757
0,2016M05 [2016M05],Canada,110.9318996,..,110.7944732,1.583531275,110.0802855,111.9026933,..,..,118.8565458,95.80387616,84298.07944,6.9,19478756174,18979885006,0.954727032,0.955580992,46.049,39615,41493.53551,48.18953119,..,0.823864626,..,31629.8,0.823038199,33.21501369,38391.98699,40.35658824,1.294886364,1.294886364,92.93326805
0,2016M05 [2016M05],China,110.8424508,..,119.5366667,2.123570275,110.8498305,118.5051306,..,..,90.07926526,94.10083278,3215453.836,4.056564491,4.12608E+11,4.02045E+11,0.941642563,0.957501347,131085.3503,129441.0258,137463.0149,136903.5674,..,1.148657521,..,173769.3341,1.072737598,175710,151280.3694,163795.881,6.533477273,6.533477273,..
0,2016M05 [2016M05],France,107.9978587,..,106.4745907,-0.029946097,106.9574468,107.3832674,..,..,122.0601089,96.6067129,60286.35762,9.696296296,29993114049,29785650901,0.757615308,0.742291105,46.457,46009,60728.70957,62.58595807,..,0.888238765,..,49097.98082,0.891549005,48319.61522,55275.65643,54197.37438,5.806977273,0.885209864,98.91996804
0,2016M05 [2016M05],Germany,109.3982932,..,108.3063646,0.099700897,108.747985,108.992416,..,..,170.7346119,135.1146251,67567.99178,4.338787965,87538696005,93887614482,0.805112577,0.800884802,88002.13921,86162.61876,107019.3427,109881.1452,..,0.83757949,..,111504.7807,0.839432053,109457,133127.4011,130394.1155,1.731568182,0.885209864,92.07843658
0,2016M05 [2016M05],India,..,..,156.8856816,5.675106114,..,156.2575942,..,..,148.8590731,102.1223063,361605,8.5,53705004212,52561508164,..,..,27661.38028,28286.23,..,..,..,..,..,1472.727013,..,1499.18,..,..,66.93195455,66.93195455,..
0,2016M05 [2016M05],Italy,111.5131579,..,107.9774467,-0.321393742,108.4142395,108.2429501,..,..,77.27965411,61.16619368,49646.15842,11.5833634,36935171456,45146070324,0.844608078,0.840910189,56.91832617,59.66054172,70.63695371,67.68656979,..,0.95312419,..,39147,0.952733352,40920,41072.29719,42950.10761,1714.238636,0.885209864,76.3525633
0,2016M05 [2016M05],Japan,101.3091641,..,103.0991736,-0.399201597,100.6012024,103.5196687,..,..,155.8174859,129.840569,1225294.07,3.172040958,1.33491E+11,1.3279E+11,0.782916406,0.758540983,49445.42309,47160.79202,60237.32759,65184.90659,..,0.817208613,..,52615,0.829747767,46779,64383.80498,56377.37377,108.9736364,108.9736364,82.40558425
0,2016M05 [2016M05],United Kingdom,115.0500911,..,113.5395912,0.307991164,114.1547862,114.3393906,..,..,122.4539736,109.9941872,147526.3664,4.9,40153252579,40016166542,0.916318649,0.915939089,71.40430096,55957,..,77.95747757,..,0.929362361,..,24655.71598,0.91154593,25064.97531,26529.71221,27569.66108,0.688357695,0.688357695,106.5291734
0,2016M05 [2016M05],United States,112.4760321,..,110.0934304,1.029109582,111.9669315,110.8645189,..,..,168.9611546,168.9611546,120988.4184,4.8,2.67575E+11,2.65294E+11,0.952343129,0.931978108,178603.026,183394.3,192571.6628,191638.6495,..,0.98688592,..,118952.6,0.994200497,119616.3,120533.2831,120314.0618,1,1,126.4745596
0,2016M06 [2016M06],Brazil,151.932617,..,154.0166263,8.875397764,151.4255138,154.3174507,..,..,73.14463682,38.09911739,364152,11.12902583,36067311298,41186239594,0.911564626,0.894736842,12865.41882,12771,14009.97761,14378.99751,..,0.846439169,..,15804.76502,0.861550038,16738,18672.06245,19427.77467,3.417545455,3.417545455,82.71691546
0,2016M06 [2016M06],Canada,111.0215054,..,111.0535406,1.41955836,110.2586976,112.1633362,..,..,120.4917291,97.51413253,83521.12144,6.8,19963001200,19785980508,0.958364222,0.961796144,47.439,40112,41854.65097,49.32334187,..,0.834528437,..,31891.2,0.837950166,33.44126333,38214.63547,39.90841545,1.288818182,1.288818182,93.20018983
0,2016M06 [2016M06],China,110.95186,..,119.7314298,2.046411485,111.0467024,118.3885261,..,..,91.32818687,94.55179901,3228887.214,4.052717465,4.13992E+11,4.27671E+11,0.930645694,0.961258519,131421.4643,129948.0136,139632.1011,136718.127,..,1.149152751,..,174706.0794,1.155143145,176605,152030.3365,152885.8139,6.592636364,6.592636364,..
