,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","GDP,constant 2010 US$,millions,seas. adj.,","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 LCU,millions,seas. adj.,","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,"
0,2015 [2015],Italy,109.6491228,..,108.2638843,0.043130105,107.8838547,108.4237166,1654212,1836582.493,96.08587406,74.69086588,50856.94284,11.88252533,4.40095E+11,4.94341E+11,0.882364337,0.880249813,689.034463,689.4030024,781.3922961,783.4553643,2144837.84,0.944077316,1654210,456136,0.941962376,457168,483226.0381,485605.0395,1744.121424,0.900747622,75.37862876
0,2015 [2015],Japan,100.6965425,..,103.3057851,0.78951789,100.1920508,103.5196687,531358300,4391505.057,179.8236771,135.2824284,1208212.436,3.371588949,1.62313E+12,1.74355E+12,0.855958082,0.831844866,648328.4598,648182.3389,757479.2022,779462.4511,5842764.182,0.813025521,517039600,625076,0.824969861,624920,768699.4045,757726.4726,121.0042359,121.0042359,74.57603015
0,2015 [2015],United Kingdom,113.8443002,..,113.2669593,0.042090947,113.147771,113.8590009,1916896,2931212.415,129.763624,122.823392,138018.581,5.375,4.73577E+11,4.83454E+11,0.803819382,0.96556923,863.1014121,608915,757350.822,894.1646569,2752468.116,0.946140607,1957920,285871.9351,0.819132327,285960,302165.9028,349432.9241,0.654040092,0.654040092,108.0065481
0,2015 [2015],United States,110.0690185,..,108.9723341,0.121137233,109.8011177,109.3821964,18224900,18224900,167.9898297,167.9898297,119222.4775,5.275,3.29579E+12,3.30579E+12,0.984312947,0.968790722,2247766.836,2248811.4,2285303.452,2320514.89,16620723.84,1.02223679,17403800,1503328.5,1.026650097,1503328.4,1470502.808,1464424.703,1,1,122.1043032
0,2015Q1 [2015Q1],Brazil,..,..,..,..,..,..,1489484.912,519531.4683,..,..,..,..,..,..,1.049319728,1.038707881,50534.73339,48323,46080.79407,48686.13408,565524.4176,0.987883284,305915,47850.01109,0.990719839,42747,48453.05357,43229.24612,..,..,..
0,2015Q1 [2015Q1],Canada,..,..,..,..,..,..,496075,399852.8379,..,..,..,..,..,..,0.998628936,0.994782676,139.8103,105608,105764.7752,140.5337799,443656.3497,0.920715829,484068.75,103337.6,0.924053154,103.9334163,112273.2941,112.5073384,..,..,..
0,2015Q1 [2015Q1],China,..,..,..,..,..,..,16702288.61,2677953.199,..,..,..,..,..,..,1.038966927,1.097849006,417693.4318,384497.051,370011.7276,380372.3658,2090231.834,1.241993829,16758967.74,595579.5874,1.211524375,513058,480672.3128,421892.9524,..,..,..
0,2015Q1 [2015Q1],France,..,..,..,..,..,..,546895,615693.0483,..,..,..,..,..,..,0.811653655,0.805199294,142.847,139590,172204.0486,177.5300551,721126.1739,0.925783941,542547,144910.0645,0.930646595,142437.756,156418.3338,153181.0711,..,..,..
0,2015Q1 [2015Q1],Germany,..,..,..,..,..,..,746430,840329.0614,..,..,..,..,..,..,0.837637855,0.83498524,264114.061,264043.8284,315538.3361,316442.3659,957676.5992,0.846933176,749940,331499.9713,0.845982485,328896,391658.4011,389518.016,..,..,..
0,2015Q1 [2015Q1],India,..,..,..,..,..,..,32056090,515005.7424,..,..,..,..,..,..,0.937202238,0.937202238,97259.55223,96419.47,102121.7326,101347.752,516888.6886,..,26946470,4295.599506,..,4385.52,..,..,..,..,..
