,Column,Time,Country,"Core CPI,not seas.adj,,,","CPI Price, seas. adj.,,,","CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","CPI Price,not seas.adj,,,","Stock Markets, US$, Billions","Total Reserves,,,,","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,,","Retail Sales Volume,Index,,,",Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,US Unemployment as leading/trailing
40,40,1990M07 [1990M07],United States,61.56684205,60.00331053,4.819277108,61.55017608,60.17896782,28.02179515,80915.0118,5.5,,,40871.50186,41495.1,32307.7,30736.2,1.0,1.0,58.80687198,-1.037100734549091,-1.4976331819576956,,1.1526836409574217
41,41,1990M08 [1990M08],Canada,70.96774194,67.85589799,4.135179935,,68.28844483,26.94687597,17765.63072,8.1,,,10329.0,11368.0,11037.5,11940.0,1.145,1.145,,,-2.122857404838399,,1.6975886348645666
42,42,1990M08 [1990M08],France,,72.08165001,3.373763811,73.6074961,72.2726787,38.30393908,31912.56714,7.6,,,19599.0,11311.97034,19698.30642,12071.32543,5.268043478,0.746741185,,,-3.1267632335598097,,1.5927992129593465
43,43,1990M08 [1990M08],Germany,,68.06903991,2.435064935,71.30620985,68.25568797,,69301.9357,4.654612138,,,33795.48454,30475.08356,35992.90248,33062.0,1.570391304,0.746741185,102.9153913,3.764975599754465,,,0.9755082302680818
44,44,1990M08 [1990M08],Japan,95.06545821,94.17243102,2.807875973,,94.40993789,155.8214077,74431.08572,1.991463555,,,19470.21784,19193.3698,23840.0,22647.0,147.4608696,147.4608696,60.99877618,-3.574984728956649,8.732848371193398,,0.4173686293475292
45,45,1990M08 [1990M08],United Kingdom,,63.90179224,7.845014926,,64.21642301,45.58432192,36485.05548,7.1,,,35189.54494,16631.0,16127.0,14992.0,0.526036925,0.526036925,,,-0.4840636728109201,,1.4880097910541263
46,46,1990M08 [1990M08],United States,61.97577311,60.50908556,5.702811245,61.91276917,60.732762,25.61195273,82127.97433,5.7,,,41863.22851,42231.8,32557.2,31722.9,1.0,1.0,58.630485,-0.7896092653920121,-1.1380489864568806,,1.1945994097195098
47,47,1990M09 [1990M09],Canada,71.14695341,68.16435613,4.236612559,,68.46220678,25.14405275,17593.56164,8.5,,,9686.8,11475.0,11127.0,12065.0,1.15825,1.15825,,,-2.0608208286657543,,1.7814201723887428
48,48,1990M09 [1990M09],France,,72.50691048,3.829367289,73.71160854,72.78555401,35.29606368,35525.8782,7.6,,,19899.0,14798.46165,18081.54593,15274.43755,5.2602,0.749156551,,,-2.2485548331205667,,1.5927992129593465
49,49,1990M09 [1990M09],Germany,,68.60841424,2.746365105,71.73447537,68.58071506,,70153.1878,4.77147398,,,30373.89675,30470.26684,33719.22335,33550.0,1.571,0.749156551,103.7633039,2.155302913500558,,,0.5243378
