Time,Country,"Core CPI,not seas.adj,,,","Core CPI / CPI, not seas. adj.","CPI Price, seas. adj.,,,",CPI seasonal / CPI not seasonal,"CPI Price, % y-o-y, not seas. adj.,,","Core CPI,seas.adj,,,","Core CPI / CPI, seas. adj.",Core CPI Seasonal / Core CPI Not Seasonal,"CPI Price,not seas.adj,,,","GDP,current US$,millions,seas. adj.,","Stock Markets, US$, Billions","Unemployment rate,Percent,,,","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,",Industrial Production % of GDP,"Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Export-Import Ratio, seas. adj.","Import-Export Ratio, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exchange rate, old LCU per USD extended forward, period average,,","Exchange rate, new LCU per USD extended backward, period average,, (USD to EURO)","Retail Sales Volume,Index,,,",GDP to Unemployment Rate Correlaton,Retail Sales Volume to CPI Correlaton,Stock Market Value to CPI Correlaton,US Stock Market to Stock Market,Import/Export,Retail Sales,Industrial Production GDP,Core CPI,Export/Import,US Unemployment as leading/trailing
1989 [1989],Italy,,,52.98540805,0.998519085,6.203844507,,,,53.06399132,750622.2632,,,,,,,,,,,,1370.610894,0.896299092,,,,,,,,,,,
1989 [1989],Japan,92.70728432,1.011733044,91.35077041,0.996929138,2.271400339,,,,91.63216011,3055352.072,,,,,,,,,,,,138.0019941,138.0019941,58.1131693,,-15.04503424,,,,,,1.581979095,,
1989 [1989],United Kingdom,,,59.08970866,0.9948366,5.175281966,,,,59.39639599,1006620.395,,,,,,,,,,,,0.610831275,0.610831275,,,,,,,,,,,
1989 [1989],United States,58.60209191,1.024332736,56.98781849,0.996116114,4.791094201,58.45302682,1.025710904,0.997456318,57.21001568,5641600,,,,,,,,,,,,1,1,,,,,,,,,,,
1989Q1 [1989Q1],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],Canada,,,,,,,,,,137589.5813,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],France,,,,,,,,,,275532.0647,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],Germany,,,,,,,,,,345050.8439,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],Italy,,,,,,,,,,184372.987,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],Japan,,,,,,,,,,803905.3915,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],United Kingdom,,,,,,,,,,259643.8367,,,,,,,,,,,,,,,,,,,,,,,,
1989Q1 [1989Q1],United States,,,,,,,,,,1377800,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],Canada,,,,,,,,,,140291.7964,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],France,,,,,,,,,,267858.9035,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],Germany,,,,,,,,,,333389.0901,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],Italy,,,,,,,,,,179660.8235,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],Japan,,,,,,,,,,747809.2537,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],United Kingdom,,,,,,,,,,246224.5627,,,,,,,,,,,,,,,,,,,,,,,,
1989Q2 [1989Q2],United States,,,,,,,,,,1403100,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],Canada,,,,,,,,,,143553.1875,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],France,,,,,,,,,,274830.8009,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],Germany,,,,,,,,,,340742.9725,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],Italy,,,,,,,,,,185219.7605,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],Japan,,,,,,,,,,741174.6899,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],United Kingdom,,,,,,,,,,248479.7534,,,,,,,,,,,,,,,,,,,,,,,,
1989Q3 [1989Q3],United States,,,,,,,,,,1423900,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],Canada,,,,,,,,,,145712.5428,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],France,,,,,,,,,,295543.2721,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],Germany,,,,,,,,,,366213.9815,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],Italy,,,,,,,,,,201368.6922,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],Japan,,,,,,,,,,762462.7373,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],United Kingdom,,,,,,,,,,252272.2419,,,,,,,,,,,,,,,,,,,,,,,,
1989Q4 [1989Q4],United States,,,,,,,,,,1436800,,,,,,,,,,,,,,,,,,,,,,,,
1990 [1990],Brazil,0.001812806,1.889599316,0.000971106,1.012243579,2822.627295,,,,0.00095936,,,,,,,,,,,,,0.0002,0.0002,,,,,,,,,2.95E-05,,
1990 [1990],Canada,70.63172043,1.037504331,67.65864287,0.993833006,4.777533347,,,,68.07848248,596032.9393,26.54375814,8.15,,,,,,,,,,1.167017217,1.167017217,,-1.490173946,,30.56667241,1.037522821,,,,1.147589258,,1.451038576
1990 [1990],China,,,41.1932431,1.005450047,3.046941308,,,,40.96995491,,,,,,,,,,,,,4.794740368,4.794740368,,,,,,,,,,,
1990 [1990],France,,,71.71840669,0.995482792,3.390839158,,,,72.04384372,1369688.521,38.84822726,7.625,,,,,,,,,,5.44635207,0.77165634,,-1.867312041,,19.5184757,1.518470825,,,,,,1.357566765
1990 [1990],Germany,,,68.11398777,0.999245733,2.627658134,,,,68.16540267,1759653.398,,,,,,,,,,,,1.616348875,0.77165634,99.17555823,,1.911690122,,,,,,,,
1990 [1990],India,,,23.86069657,0.997663665,8.961079392,,,,23.91657369,,14.74591114,,,,,,,,,,,17.49710507,17.49710507,,,,147.9015513,0.576377288,,,,,,
1990 [1990],Italy,,,56.40584003,0.998518742,6.455422554,,,,56.48951555,947890.88,,,,,,,,,,,,1198.18166,0.77165634,,,,,,,,,,,
1990 [1990],Japan,95.09902652,1.006838904,94.16687384,0.996969953,3.082736375,,,,94.45307108,3145428.105,173.4465281,2.108116766,,,,,,,,,,144.8215565,144.8215565,60.30577297,0.122457205,-2.596480728,-33.06198973,6.779549833,,,,1.545121945,,0.375332362
1990 [1990],United Kingdom,,,63.24297364,0.994836517,7.028745064,,,,63.57122254,1195634.854,43.48562453,7.091666667,,,,,,,,,,0.562735812,0.562735812,,-5.174625419,,37.10643083,1.699733986,,,,,,1.262611276
1990 [1990],United States,61.54791006,1.020725709,60.07611148,0.996317038,5.419216029,61.39531862,1.02195893,0.99752077,60.2981874,5963200,25.58378246,5.616666667,,,,,,,,,,1,1,,-0.954622582,,35.10449372,,,,,,,
1990Q1 [1990Q1],Brazil,,,,,,,,,,,,,,,,5188.133532,4576,6994.705412,,,6487,,,,,,,,,,,,,
1990Q1 [1990Q1],Canada,,,,,,,,,,146278.7228,,,,,,30238.8,,31562.7,-0.00905053,0.00905053,,,,,,,,,0.470749937,,,,0.470749937,
1990Q1 [1990Q1],China,,,,,,,,,,,,,,,,13217.52268,9945.078158,13963.34099,,,10780,,,,,,,,,,,,,
1990Q1 [1990Q1],France,,,,,,,,,,321052.5866,,,,,,53846,,55940.98721,-0.006525371,0.006525371,,,,,,,,,0.339407513,,,,0.339407513,
1990Q1 [1990Q1],Germany,,,,,,,,,,406131.2383,,,,,,87919.36643,88111.70852,104929.8407,-0.041884181,0.041884181,104904,,,,,,,,2.178543698,,,,2.178543698,
1990Q1 [1990Q1],India,,,,,,,,,,,,,,,,5711.299597,5670,4385.815807,,,4833,,,,,,,,,,,,,
1990Q1 [1990Q1],Italy,,,,,,,,,,222589.2373,,,,,,,,,,,,,,,,,,,,,,,,
1990Q1 [1990Q1],Japan,,,,,,,,,,737085.4734,,,,,,54947.64866,53642.85236,68203,-0.017983466,0.017983466,65796,,,,,,,,0.93538336,,,,0.93538336,
1990Q1 [1990Q1],United Kingdom,,,,,,,,,,268731.7867,,,,,,85400.45647,,42107,0.161102849,-0.161102849,,,,,,,,,-8.379526319,,,,-8.379526319,
1990Q1 [1990Q1],United States,,,,,,,,,,1468200,,,,,,124737.4761,119755,96510.2,0.01922577,-0.01922577,97596.5,,,,,,,,-1.204307885,,,,-1.204307885,
1990Q2 [1990Q2],Brazil,,,,,,,,,,,,,,,,4461.443699,4266,8087.368831,,,8300,,,,,,,,,,,,,
1990Q2 [1990Q2],Canada,,,,,,,,,,148537.3746,,,,,,30201.3,34344,32501.7,-0.015487011,0.015487011,36952,,,,,,,,0.970110921,,,,0.970110921,
1990Q2 [1990Q2],China,,,,,,,,,,,,,,,,13003.49603,13037.72876,14989.06575,,,14730,,,,,,,,,,,,,
1990Q2 [1990Q2],France,,,,,,,,,,329578.4266,,,,,,53970,50905.61881,54400.84423,-0.001307259,0.001307259,53075.99058,,,,,,,,0.081887061,,,,0.081887061,
1990Q2 [1990Q2],Germany,,,,,,,,,,417697.9015,,,,,,91574.05268,89670.85668,103525.6586,-0.028613038,0.028613038,100857,,,,,,,,1.792329074,,,,1.792329074,
1990Q2 [1990Q2],India,,,,,,,,,,,,,,,,5415.7456,5326,4536.275738,,,4253,,,,,,,,,,,,,
1990Q2 [1990Q2],Italy,,,,,,,,,,225646.4871,,,,,,34676.8417,35943.18847,29147.64846,0.024503786,-0.024503786,38794.12301,,,,,,,,-1.53492433,,,,-1.53492433,
1990Q2 [1990Q2],Japan,,,,,,,,,,725223.6361,,,,,,54873.10313,54015.21668,68143,-0.018297662,0.018297662,67258,,,,,,,,1.146170895,,,,1.146170895,
1990Q2 [1990Q2],United Kingdom,,,,,,,,,,279367.0923,,,,,,87114.81463,49859,43565,0.155887418,-0.155887418,45773,,,,,,,,-9.764833479,,,,-9.764833479,
1990Q2 [1990Q2],United States,,,,,,,,,,1490000,,,,,,122038.1066,120936.4,98251.5,0.015964166,-0.015964166,100626,,,,,,,,-0.942530545,,,,-0.942530545,
1990Q3 [1990Q3],Brazil,,,,,,,,,,,,,,,,5180.710982,5474,8348.362738,,,8736,,,,,,,,,,,,,
1990Q3 [1990Q3],Canada,,,,,,,,,,151209.2366,,,,,,30057.2,34172,33396.6,-0.02208463,0.02208463,36432,,,,,,,,1.303885134,,,,1.303885134,
1990Q3 [1990Q3],China,,,,,,,,,,,,,,,,13444.46778,13364.74032,15398.13546,,,15750,,,,,,,,,,,,,
1990Q3 [1990Q3],France,,,,,,,,,,348878.1239,,,,,,58060,43127.65289,56653.13059,0.004032553,-0.004032553,44669.13393,,,,,,,,-0.238083479,,,,-0.238083479,
1990Q3 [1990Q3],Germany,,,,,,,,,,451001.9869,,,,,,94992.12976,91565.87482,104741.1695,-0.021616401,0.021616401,101146,,,,,,,,1.27624072,,,,1.27624072,
1990Q3 [1990Q3],India,,,,,,,,,,,,,,,,5817.41072,5756,4544.057911,,,4402,,,,,,,,,,,,,
1990Q3 [1990Q3],Italy,,,,,,,,,,242072.2096,,,,,,29721.04425,26898.60294,26378.82172,0.013806717,-0.013806717,31491.08799,,,,,,,,-0.815153955,,,,-0.815153955,
